Latitude,Longitude,Biomass yield,Plant height,Number of stems,Stem diameter
37.056,126.925,1301.6,198,140.7,5.2
37.136,126.896,1617.5,193.6,105.5,6.4
37.95,128.136,1198.7,230.1,134.9,6.1
36.916,127.522,1378.3,168.3,125.2,5.1
36.528,127.503,1478.2,206.2,103,6.7
37.001,127.602,1887.7,220,154.7,6.3
36.416,127.672,1340.3,196.7,146.4,5.6
37.533,128.928,1174.6,249,95.6,6
37.352,128.585,1543,229.9,102.3,6.4
37.422,128.252,1042.5,181.6,166.8,4.3
37.429,128.349,1181.7,206.1,143.8,5.6
37.481,128.771,818.8,214.2,92.9,5.4
37.461,127.826,1636.1,230.6,152.9,5.8
37.532,127.798,1752.3,193.2,172.1,5
37.427,128.011,997.9,194.2,122.9,5.5
37.61,127.776,1310.9,193.9,154.2,5.2
37.067,127.724,1575.2,208.7,122.3,6.1
37.047,129.046,1142,205.8,105.1,4.7
37.477,128.241,1106.9,207.4,125.2,5.4
37.128,129.172,1629,201,146.1,5.5
37.719,128.857,1044,218.7,82.7,6.2
37.875,127.823,1373.3,211.2,130.3,5.6
37.087,129.028,1402.9,201.6,153.2,5.3
37.13,128.168,1008.6,202.9,154.2,5.6
37.457,128.283,1102.5,200.7,144.6,5.2
37.511,129.098,1525.7,203,190.1,5.9
37.7,128.138,1380.3,202.6,113.7,6.1
37.348,128.572,1542.3,213.2,103.5,6.2
36.436,129.246,1092.5,232.1,86.2,6.2
36.743,129.337,965.2,167.8,123.2,3.9
37.551,128.212,1396.2,226.3,126.6,4.7
37.591,128.154,1489.8,234.6,152.5,6.1
36.928,129.156,832.1,188.8,110.5,4.6
37.56,128.366,1717.1,194.5,135.4,5.5
37.584,127.898,646.3,199.7,106.7,5.1
37.866,127.675,1248.2,204.8,116.1,5.4
38.09,128.185,634.3,182.4,100.9,4.6
38.195,128.325,1168.5,247.4,75.9,7.6
38.197,128.203,1552.7,217.4,163.2,5.4
38.063,128.646,1094.8,221.7,104.9,5.9
38.015,127.802,1580.5,182.7,169.1,4.8
38.02,128.228,1262.1,222.2,102.1,6.7
37.82,128.468,556.4,173.7,91.9,5
38.18,127.381,1768.3,250.4,117.6,7.3
37.704,127.401,1209.5,250.4,144.5,6
37.727,127.407,1149.8,246.1,97.5,6.6
37.896,127.768,1068.4,221.7,148.7,5.6
37.873,127.522,827.9,210.5,54.9,7
38.029,127.836,1066.6,194.4,125.4,5.6
38.035,127.872,1355.1,230,115.9,6.5
38.13,128.053,1291.9,230.1,101.4,6.1
38.043,127.945,1156.9,207.8,98.9,5.8
37.712,128.182,1052.4,222.2,92,5.5
37.799,128.855,936.6,247.2,73.6,6.4
37.938,127.784,1747.7,199.3,138,6.3
38.147,127.096,1232.2,240.5,77.6,7.4
37.996,127.79,1082.6,225.2,91.4,6.6
37.772,127.742,881.3,205.2,118.4,5.7
37.492,127.985,1030,180.8,106.7,5
38.07,127.523,888.7,187.9,96.6,5
37.85,127.577,897.6,190,126.4,4.9
36.892,127.95,1227.5,214.8,93.2,6.2
37.082,127.956,744.2,219.6,91.4,5.8
37.062,128.169,992.6,212.4,91.1,5.7
37.143,128.161,432.8,213.7,61.6,5.6
37.161,126.903,1633.8,213.1,131.3,6.1
38.166,127.46,3043.7,245.7,134.1,6.9
35.436,126.702,2099.8,213.5,116.2,6.5
36.797,127.604,1632.2,237.5,87.6,7.3
37.187,128.407,1908.9,207.2,130.4,5.6
35.856,129.225,1116.7,181.1,90.5,6.2
35.436,126.702,1052.3,218.2,74,6.3
35.065,126.987,1596.4,254.8,112.4,7.1
35.718,127.153,1832.4,251.3,110.6,6.7
34.987,127.512,1435.3,239.6,119.1,6.4
37.591,128.281,1458.1,215.3,119.9,6.2
41.317,123.738,227.9,189.6,55.2,4.3
41.329,123.69,300,197.2,79.2,4.7
36.233,117.083,746.2,181.7,114.7,4.9
37.173,121.734,1022.6,196.1,90.4,6
41.914,124.666,3772.6,255,183.5,6.1
41.816,123.4,440.9,204.4,79.6,5.6
41.186,123.846,1020.5,215.1,107.1,5.8
41.232,123.757,401.8,195.6,69.6,5.6
