# This is a submission template for batch deposit of 'Plant; version 1.0' samples to the NCBI BioSample database (http://www.ncbi.nlm.nih.gov/biosample/).																																
# GREEN fields are mandatory. Your submission will fail if any mandatory fields are not completed. If information is unavailable for any mandatory field, please enter 'not collected',  'not applicable' or 'missing' as appropriate.																																
# BLUE  fields indicate that at least one of those fields is mandatory. If information is unavailable, please enter 'not collected',  'not applicable' or 'missing' as appropriate.																																
# YELLOW fields are optional. Leave optional fields empty (or delete them) if no information is available.																																
# You can add any number of custom fields to fully describe your BioSamples, simply include them in the table.																																
# Hover over field name to view definition, or see http://www.ncbi.nlm.nih.gov/biosample/docs/attributes/.																																
# CAUTION: Be aware that Excel may automatically apply formatting to your data. In particular, take care with dates, incrementing autofills and special characters like / or -. Doublecheck that your text file is accurate before uploading to BioSample.																																
# TO MAKE A SUBMISSION: 																																
# 1. Complete this template table																																
# 2. Save the worksheet as a Text (Tab-delimited) file  -- (use 'File, Save as, Save as type: Text (Tab-delimited)' )																																
# 3. Upload the text file on the 'Attributes' tab of the BioSample Submission Portal at https://submit.ncbi.nlm.nih.gov/subs/biosample/. 																																
# If you have any questions, please contact us at biosamplehelp@ncbi.nlm.nih.gov.																																
# 																																
*sample_name	sample_title	bioproject_accession	*organism	isolate	cultivar	ecotype	age	dev_stage	*geo_loc_name	*tissue	biomaterial_provider	ploidy	cell_line	cell_type	collected_by	collection_date	culture_collection	disease	disease_stage	genotype	growth_protocol	height_or_length	isolation_source	lat_lon	phenotype	population	sample_type	sex	specimen_voucher	temp	treatment	description
UI11-00036	Leaf sample from Miscanthus sacchariflorus clone UI11-00036	PRJNA342314	Miscanthus sacchariflorus		PF30154			vegetative	Japan: Gifu	leaf	New Energy Farms	4x																				Leaf collected from plant growing at the University of Illinois, Urbana-Champaign.
UI11-00037	Leaf sample from Miscanthus sacchariflorus clone UI11-00037	PRJNA342314	Miscanthus sacchariflorus		PF30155			vegetative	Japan: Gifu	leaf	New Energy Farms	4x																				Leaf collected from plant growing at the University of Illinois, Urbana-Champaign.
UI11-00038	Leaf sample from Miscanthus sacchariflorus clone UI11-00038	PRJNA342314	Miscanthus sacchariflorus		PF30156			vegetative	Japan: Gifu	leaf	New Energy Farms	4x																				Leaf collected from plant growing at the University of Illinois, Urbana-Champaign.
UI11-00039	Leaf sample from Miscanthus sacchariflorus clone UI11-00039	PRJNA342314	Miscanthus sacchariflorus		PF30157			vegetative	Japan: Gifu	leaf	New Energy Farms	4x																				Leaf collected from plant growing at the University of Illinois, Urbana-Champaign.
UI10-00124	Leaf sample from Miscanthus sacchariflorus clone UI10-00124	PRJNA342314	Miscanthus sacchariflorus		R2			vegetative	China	leaf	Martin Deuter, Tinplant	2x																				Leaf collected from plant growing at the University of Illinois, Urbana-Champaign.
UI10-00006	Leaf sample from Miscanthus sacchariflorus clone UI10-00006	PRJNA342314	Miscanthus sacchariflorus		Bluemel			vegetative	China	leaf	Bluemel	2x																				Leaf collected from plant growing at the University of Illinois, Urbana-Champaign.
UI10-00007	Leaf sample from Miscanthus sacchariflorus clone UI10-00007	PRJNA342314	Miscanthus sacchariflorus		Earthly Pursuits			vegetative	China	leaf	Earthly Pursuits	2x																				Leaf collected from plant growing at the University of Illinois, Urbana-Champaign.
UI10-00009	Leaf sample from Miscanthus sacchariflorus clone UI10-00009	PRJNA342314	Miscanthus sacchariflorus		Robustus-Bluemel			vegetative	China	leaf	Bluemel	2x																				Leaf collected from plant growing at the University of Illinois, Urbana-Champaign.
UI10-00010	Leaf sample from Miscanthus sacchariflorus clone UI10-00010	PRJNA342314	Miscanthus sacchariflorus		Robustus-Earthly Pursuits			vegetative	China	leaf	Earthly Pursuits	2x																				Leaf collected from plant growing at the University of Illinois, Urbana-Champaign.
UI10-00011	Leaf sample from Miscanthus sinensis clone UI10-00011	PRJNA342314	Miscanthus sinensis		Tripple Brook Farm			vegetative	Unknown	leaf	Tripple Brook Farm	2x																				Leaf collected from plant growing at the University of Illinois, Urbana-Champaign.
JM2014-H-1	Leaf sample from Miscanthus sinensis clone JM2014-H-1	PRJNA342314	Miscanthus sinensis	JM2014-H-1				vegetative	Japan: Teshio, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University				T. Yamada & K.G. Anzoua	12-Aug-2014								44.9651 N 141.7614 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-2	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-2	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-2				vegetative	Japan: Teshio, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	12-Aug-2014								44.8975 N 141.7471 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-3	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-3	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-3				vegetative	Japan: Otoineppu, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	12-Aug-2014								44.7261 N 142.2195 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-4	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-4	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-4				vegetative	Japan: Bifuka, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	12-Aug-2014								44.5391 N 142.3237 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-5	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-5	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-5				vegetative	Japan: Asahikawa, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	13-Aug-2014								43.8253 N 142.4276 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-6	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-6	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-6				vegetative	Japan: Kenbuchi, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	13-Aug-2014								44.0986 N 142.3888 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-7	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-7	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-7				vegetative	Japan: Asahikawa, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	13-Aug-2014								43.6643 N 142.3971 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-8	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-8	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-8				vegetative	Japan: Biei, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	13-Aug-2014								43.5703 N 142.4374 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-9	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-9	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-9				vegetative	Japan: Kamifurano, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	13-Aug-2014								43.4879 N 142.4628 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-10	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-10	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-10				vegetative	Japan: Furano, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	13-Aug-2014								43.3291 N 142.393 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-11	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-11	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-11				vegetative	Japan: Ashibetsu, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	13-Aug-2014								43.4707 N 142.2687 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-12	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-12	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-12				vegetative	Japan: Akabira, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	20-Aug-2014								43.562 N 142.058 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-13	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-13	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-13				vegetative	Japan: Ikeda, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	20-Aug-2014								42.9992 N 143.4386 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-14	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-14	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-14				vegetative	Japan: Honbetsu, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	20-Aug-2014								43.0996 N 143.5328 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-15	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-15	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-15				vegetative	Japan: Ashoro, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	20-Aug-2014								43.199 N 143.5746 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-18	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-18	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-18				vegetative	Japan: Rikubetsu, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	20-Aug-2014								43.5986 N 143.6637 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-19	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-19	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-19				vegetative	Japan: Kamiyubetsu, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	20-Aug-2014								44.0996 N 143.531 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-20	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-20	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-20				vegetative	Japan: Yubetsu, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	20-Aug-2014								44.1846 N 143.6394 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-21	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-21	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-21				vegetative	Japan: Kitami, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	21-Aug-2014								43.9178 N 143.782 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-22	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-22	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-22				vegetative	Japan: Tanno, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	21-Aug-2014								43.8861 N 143.9728 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-23	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-23	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-23				vegetative	Japan: Bihoro, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	21-Aug-2014								43.8616 N 144.0776 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-24	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-24	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-24				vegetative	Japan: Ozora, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	21-Aug-2014								43.9131 N 144.1559 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-25	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-25	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-25				vegetative	Japan: Abashiri, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	21-Aug-2014								44.0036 N 144.2281 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-27	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-27	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-27				vegetative	Japan: Koshimizu, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	21-Aug-2014								43.9345 N 144.4429 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-28	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-28	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-28				vegetative	Japan: Nakashibetsu, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	21-Aug-2014								43.5734 N 145.0144 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-29	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-29	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-29				vegetative	Japan: Bekkai, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	21-Aug-2014								43.4764 N 145.0476 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-30	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-30	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-30				vegetative	Japan: Bekkai, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	21-Aug-2014								43.3138 N 145.1465 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-41	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-41	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-41				vegetative	Japan: Kushiro, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	21-Aug-2014								42.9745 N 144.5297 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-42	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-42	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-42				vegetative	Japan: Kushiro, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	21-Aug-2014								42.996 N 144.4062 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-43	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-43	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-43				vegetative	Japan: Kushiro, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	22-Aug-2014								43.0724 N 144.498 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-44	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-44	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-44				vegetative	Japan: Shibecha, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	22-Aug-2014								43.2214 N 144.5309 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-45	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-45	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-45				vegetative	Japan: Shibecha, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	22-Aug-2014								43.3167 N 144.6025 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-46	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-46	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-46				vegetative	Japan: Teshikaga, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	22-Aug-2014								43.4115 N 144.5297 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-47	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-47	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-47				vegetative	Japan: Teshikaga, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	22-Aug-2014								43.469 N 144.4776 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-48	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-48	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-48				vegetative	Japan: Akan, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	22-Aug-2014								43.4316 N 144.1282 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-49	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-49	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-49				vegetative	Japan: Ashoro, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	22-Aug-2014								43.3785 N 143.8857 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-50	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-50	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-50				vegetative	Japan: Ashoro, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	22-Aug-2014								43.3568 N 143.8096 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-51	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-51	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-51				vegetative	Japan: Obihiro, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	22-Aug-2014								42.9851 N 143.1833 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-52	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-52	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-52				vegetative	Japan: Obihiro, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	22-Aug-2014								43.039 N 143.2105 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-53	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-53	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-53				vegetative	Japan: Menuro, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	01-Sep-2014								42.9192 N 143.0657 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
JM2014-H-54	Leaf sample from Miscanthus sacchariflorus clone JM2014-H-54	PRJNA342314	Miscanthus sacchariflorus	JM2014-H-54				vegetative	Japan: Ishikari, Hokkaido	leaf	Toshihiko Yamada, Hokkaido University	4x			T. Yamada & K.G. Anzoua	01-Sep-2014								43.1662 N 141.2892 E								Rhizome collected in Japan and shipped to New Energy Farms in Ontario, Canada for propagation.  Leaf collected at New Energy Farms and brought to University of Illinois, Urbana-Champaign for DNA extraction.
